,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,63180372254901.18,63180372254896.86,0.5002206916796255,63180372254896.86,9.836367755579802,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
1,2.0,332331919527437.5,332331919527431.44,0.500336016179795,332331919527431.44,9.731367939088974,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
2,3.0,353634905912672.1,353634905912664.3,0.4999185455782587,353634905912664.3,9.62094764182904,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
3,4.0,1291761289952354.5,1291761289952347.5,0.4999747119770712,1291761289952347.5,9.630842752983234,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
4,5.0,2.1910030915718584e+16,2.1910030915718576e+16,0.500410847965165,2.1910030915718576e+16,9.663235471292507,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
5,6.0,7.112385196073075e+16,7.1123851960730744e+16,0.4998919699132028,7.1123851960730744e+16,9.644332572726384,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
6,7.0,4.411018675759325e+16,4.411018675759325e+16,0.49975247896561903,4.411018675759325e+16,9.650903546737016,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
7,8.0,3268856337161206.0,3268856337161199.0,0.5002984876288552,3268856337161199.0,9.612250875110275,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
8,9.0,2101426038109740.8,2101426038109733.2,0.4998490838363677,2101426038109733.2,9.668026725207369,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
9,10.0,8692196286263.384,8692196286254.1455,0.49999160988078656,8692196286254.1455,9.652449654655223,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,,,,,,,,,,,
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,,,,,,,,,,,
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,,,,,,,,,,,
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,,,,,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,,,,,,,,,,
134,,,,,,,,,,,
135,,,,,,,,,,,
136,,,,,,,,,,,
137,,,,,,,,,,,
