,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1,42150.69140924559,42146.992405429206,0.645656708834123,42146.992405429206,3.697616126639711,1874.5260009765625,1871.052734375,0.6241999354599099,1871.052734375,3.473297119140625,1.0,1.0
1,2,14183.455434787493,14179.588443124221,0.6457636607396964,14179.588443124221,3.8667343540425683,772.4555053710938,768.7821044921875,0.6197912585971688,768.7821044921875,3.673396587371826,1.0,1.0
2,3,17396.133315010306,17387.56077341653,0.6276716320973282,17387.56077341653,8.57255376409168,21847.80859375,21846.84375,0.5325283144207128,21846.84375,0.9656421542167664,4.958825024917321e-09,1.999999995041175
3,4,393255.01167606283,393250.0176927063,0.572690889649053,393250.0176927063,4.993837292208993,18337.16015625,18336.5390625,0.5649488076436399,18336.5390625,0.6213234663009644,2.0,8.210014542378638e-192
4,5,797631.4335409527,797627.7994815381,0.6121979974335949,797627.7994815381,3.65070927289366,4612.46826171875,4611.7353515625,0.5687452621541418,4611.7353515625,0.732896089553833,1.9999999999892049,1.0795051265258129e-11
5,6,4182829.9741083626,4182825.1837525163,0.6265212419392602,4182825.1837525163,4.873806281323813,36847.0390625,36845.3984375,0.5934044279734775,36845.3984375,1.6391663551330566,2.0,2.2255626812026856e-34
6,7,17544.585659658984,17539.5186482997,0.6221764211246344,17539.5186482997,5.067059174637122,1157.3013916015625,1154.7291259765625,0.5972979651701555,1154.7291259765625,2.572211503982544,2.028407309202024e-09,1.9999999979715926
7,8,81538.01286456337,81533.41130917789,0.6303983857924689,81533.41130917789,4.602051164474956,4767.1611328125,4764.73486328125,0.5992818097971566,4764.73486328125,2.4265036582946777,2.0,6.500935674639667e-33
8,9,497097.9456639202,497092.87045194476,0.6287817515190839,497092.87045194476,5.070878793856849,788.7599487304688,785.0576171875,0.6105459633734989,785.0576171875,3.702321767807007,2.0,8.234820001047883e-44
9,10,200514.43843649648,200508.3327569318,0.6301523284808948,200508.3327569318,6.112784805473375,3351.92041015625,3345.49462890625,0.6159546664011414,3345.49462890625,6.425723552703857,2.1578458827343723e-07,1.9999997842154118
10,11,268695.05400824983,268688.72538747964,0.6426767577975702,268688.72538747964,6.3333399222672355,10613.09375,10608.5615234375,0.6296289707963361,10608.5615234375,4.532487392425537,1.995430151748566,0.0045698482514338916
11,12,243270.3633404129,243265.2064261407,0.6351119337370517,243265.2064261407,5.151917138714,890.7195434570312,887.7171020507812,0.6117504210005312,887.7171020507812,3.0024521350860596,1.7255165188407124,0.27448348115928767
12,13,893698.3013466677,893692.4982419629,0.6287543263273363,893692.4982419629,5.803774712275874,1344.605712890625,1341.8963623046875,0.6104861475017244,1341.8963623046875,2.7094008922576904,2.0,1.5005234320322116e-22
13,14,200188.2120859345,200182.16069021402,0.6288478902597108,200182.16069021402,6.047753540284795,70985.5078125,70982.6328125,0.6133247667508062,70982.6328125,2.8770508766174316,1.5688967262820553e-07,1.9999998431103272
14,15,4770232.048947949,4770227.454113545,0.623868775931844,4770227.454113545,4.717880306068373,220823.9375,220821.1875,0.6135926662688633,220821.1875,2.750335931777954,2.0,1.2505591907692054e-200
15,16,885625.510468091,885620.1610073722,0.6258881150648353,885620.1610073722,5.368964803730783,88788.8359375,88785.0625,0.6264907452563396,88785.0625,3.7724947929382324,1.0691573447265476e-08,1.9999999893084266
16,17,2048483.0973327262,2048478.0456048697,0.6383181075562878,2048478.0456048697,5.04485745371485,93934.328125,93930.9296875,0.6202498893442713,93930.9296875,3.3954391479492188,1.9999999999976463,2.353632373036207e-12
17,18,3397045.4974833294,3397039.877946538,0.6422536617938438,3397039.877946538,5.648342795167233,1126.3946533203125,1121.84326171875,0.6327661788123895,1121.84326171875,4.551447868347168,1.999958127124102,4.187287589805471e-05
